Sample	Type	MRP20	ColonySizes	Frequency
F2_E_mrp20_15	segregant	mrp20	8.33e-06,0.002,0.002,0.003,0.003,0.000892,0.000644,0.003,0.004,0.003,0.004,0.002,0.003,0.000608,0.004,0.004,0.000706,0.003,0.003,0.000481,0.003,0.003,0.000592,0.004,0.003,0.002,0.003,0.000528,0.003,0.004,0.000692,0.003,0.000383,0.003,0.003,0.004	27.7777777777778
F2_E_mrp20_297	segregant	mrp20	0.000531,0.000356,0.000403,0.000869,0.000781,0.000922,0.000797,0.000792,0.000319,0.002,0.001,0.000186,0.003,0.000767,0.000358,0.004,0.004,0.000572,0.00025,0.000167,0.000461,0.000906,5e-04,0.000592,0.003,0.003,0.000781,0.000333,5.56e-06,0.003,0.000292,0.000447,0.000292,0.003,0.003,0.003,0.000494,0.000292,0.000333,0.000189,0.003,0.000456,0.003,0.000125,4.44e-05,7.5e-05,0.000381,0.000533,0.003,0.006	72
BY	parent	MRP20	0.003,0.004,0.000344,0.004,0.003,0.000869,0.003,0.006,0.003,0.000925,0.001,0.000908,0.001,0.003,0.004,0.000789,0.004,0.004,0.003,0.003,0.000889,0.001,0.003,0.004,0.004,0.000919,0.004,0.000683,0.000617,0.000714,0.004,0.000942,0.003,0.000858,0.000853,0.000833,0.001,0.000558,0.000864,0.003,0.003,0.003,0.004,0.000697,0.004,0.003,0.000625,0.003,0.000889,0.003,0.003,0.003,0.000728,0.003,6e-04,0.003,0.004,0.001,0.003,0.000847,8e-04,0.000689,0.003,0.000767,0.004,0.003,0.000797,0.000769,0.000847	47.8260869565217
BY	parent	MRP20	0.000394,0.000419,0.000725,0.000964,0.003,0.00065,0.003,0.003,0.003,0.000722,0.000883,0.003,0.003,0.001,0.000747,0.001,0.004,0.003,0.000378,0.003,0.000814,0.003,0.003,0.003,0.000847,0.000697,0.003,0.004,0.000592,0.004,0.000839,0.003,0.003,0.000956,0.003,0.003,0.000889,0.003,0.000722,0.003,0.000617,0.003,0.000175,0.004,4.44e-05,0.003,0.003,0.003,0.000858,0.003,0.000933,0.000739,0.000867,0.003,0.003,0.000633,0.004,0.000736,0.000781,0.003,0.000892,0.000497,0.000681,0.000786,0.001,0.003,0.003,0.003,0.003,0.000797,0.000569,0.003,0.000703,0.000717,0.003,0.000722,0.003,0.001,0.000578	51.8987341772152
3S	parent	MRP20	0.008,0.009,0.009,0.008,0.01,0.008,0.008,0.009,0.01,0.009,0.01,0.011,0.01,0.009,0.01,0.007,0.008,0.009,0.01,0.008,0.008,0.01,0.009,0.01,0.008,0.015,0.009,0.01,0.009,0.01,0.01,0.01,0.008,0.008,0.009,0.017,0.016,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.013,0.01,0.009,0.009,0.01	0
3S	parent	MRP20	0.009,0.011,0.01,0.011,0.011,0.009,0.01,0.011,0.009,0.011,0.011,0.011,0.01,0.009,0.01,0.01,0.007,0.023,0.009,0.01,0.011,0.009,0.009,0.009,0.01,0.01,0.011,0.01,0.01,0.01,0.01,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.01	0
BY	parent	mrp20	0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.002,0.002,0.002,0.001,0.000886,0.002,0.001,0.000844,0.001	56.5217391304348
3S	parent	mrp20	0.006,0.006,0.007,0.006,0.009,0.007,0.007,0.007,0.007,0.008,0.008,0.007,0.006,0.007,0.011,0.007,0.007,0.007,0.005,0.006,0.007,0.007,0.006,0.007,0.007,0.007,0.006,0.007,0.006,0.007,0.006,0.006,0.007,0.006,0.006,0.008,0.013,0.006,0.006,0.028,0.007,0.007,0.006,0.006,0.008,0.008,0.007,0.006,0.008,0.007,0.006,0.000119,0.007,0.007,0.007,0.007,0.01,0.007,0.007,0.007,0.006,0.014,0.007,0.006,0.007,0.007,0.007,0.007,0.007,0.012,0.007,0.008,0.006,0.006,0.007,0.006,0.007,0.006,0.007	1.26582278481013
BY	parent	MRP20	0.004,0.004,0.004,0.003,0.003,0.004,0.002,0.003,0.004,0.003,0.003,0.000675,0.000475,0.000917,0.004,0.003,0.003,0.003,0.003,0.000539,0.000975,6e-04,0.003,0.003,0.003,0.004,0.003,0.001,0.000883,0.000792,0.004,0.004,0.003,0.003,0.000811,0.003,0.003,0.002,0.003,0.003,0.000847,0.003,0.003,0.003,0.003,0.000747,0.001,0.001,0.003,0.003,0.003,0.004,0.000814,0.003,0.003,0.000906,0.000839,0.003,0.000719,7e-04,0.004,0.000753,0.004,0.004	31.25
BY	parent	MRP20	0.004,0.004,0.005,0.004,0.007,0.001,0.003,0.000761,0.001,0.004,0.001,0.004,9e-04,0.004,0.003,0.000981,0.000886,0.004,0.004,0.004,0.003,0.001,0.004,0.000739,0.004,0.000944,0.003,0.001,0.004,0.000947,0.000856,0.004,0.000794,0.004,0.000578,0.003,0.004,0.004,0.001,0.004,0.004,0.001,0.000753,0.000808,0.004,0.004,0.000611,0.000539,0.003,0.000544,0.003,0.004,0.001,0.003,0.003,0.003,0.003,0.004,0.000369,0.003,0.003,0.000517,0.004,0.004,0.004,0.003,0.004,0.000531,0.003,0.000467,0.003,0.000806,0.000706,0.003,0.004	38.6666666666667
